Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Age at enrollment,Scholarship holder,Gender,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Debtor,Daytime/evening attendance,Previous qualification,Target
10,12,8,12.875,9,14,5,13.4,21,0,0,23,28,10,10,0,0,1,0,1,16,Dropout
0,0,0,0.0,0,0,0,0.0,20,0,0,1,1,10,11,1,0,1,0,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,36,0,0,22,27,7,6,1,0,1,0,0,1,Dropout
18,19,18,14.63157894736842,13,14,13,14.23076923076923,43,0,0,22,27,10,7,0,0,1,0,1,9,Graduate
6,0,0,0.0,6,0,0,0.0,19,0,0,13,14,10,8,1,0,1,0,1,1,Dropout
10,12,10,13.0,11,11,11,12.272727272727272,20,0,0,3,1,3,9,0,0,1,1,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,19,0,0,22,28,5,8,1,0,1,0,1,1,Dropout
6,15,4,14.2,6,17,4,13.25,20,0,0,1,1,5,5,1,0,1,0,1,1,Dropout
7,9,6,13.266666666666666,7,10,5,12.3,20,0,0,3,4,5,4,1,0,1,0,1,1,Dropout
7,12,6,11.666666666666666,7,8,6,0.0,18,0,0,13,1,10,4,1,0,1,0,1,1,Enrolled
6,8,6,13.857142857142858,6,6,6,15.0,18,0,0,22,27,7,8,1,0,1,0,1,1,Graduate
5,9,3,13.0,5,11,3,11.0,18,1,0,1,28,5,8,1,0,1,0,1,1,Enrolled
5,6,5,13.4,5,5,5,12.8,19,0,0,13,14,10,10,1,0,1,0,1,1,Graduate
6,6,6,12.666666666666666,6,7,6,12.571428571428571,18,0,0,1,28,5,8,1,0,1,0,1,1,Graduate
7,7,6,12.516666666666666,7,7,6,12.516666666666666,18,0,0,22,27,10,10,1,0,1,0,1,1,Dropout
7,11,6,11.616666666666667,7,7,7,13.0,20,0,0,23,28,10,6,0,0,1,0,1,1,Enrolled
6,13,2,10.0,6,12,4,10.75,20,1,0,13,27,10,8,1,0,1,0,1,1,Enrolled
5,11,3,10.333333333333334,5,10,3,10.666666666666666,20,0,0,13,14,4,4,0,0,1,0,1,1,Enrolled
5,12,5,13.142857142857142,5,6,5,11.4,18,0,0,22,28,10,8,0,0,1,0,1,1,Graduate
5,5,5,12.6,5,5,5,14.0,18,0,0,2,14,5,6,0,0,1,0,1,1,Graduate
6,12,3,11.0,6,12,6,11.0,21,0,0,1,1,5,6,1,0,1,0,1,1,Dropout
5,8,5,10.8,5,9,4,11.25,19,0,0,13,14,10,8,1,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,19,0,0,3,14,3,10,0,0,1,0,1,1,Dropout
5,5,5,12.8,5,5,5,14.2,19,1,0,23,28,10,10,0,0,1,0,1,1,Graduate
6,15,6,14.166666666666666,6,13,6,12.2,19,0,0,13,28,5,8,1,0,1,0,1,1,Graduate
7,12,5,12.1,7,0,0,0.0,19,0,0,1,1,5,6,1,0,1,0,1,1,Dropout
6,7,6,14.166666666666666,6,17,5,13.77777777777778,20,0,0,22,27,10,10,1,0,1,0,1,14,Graduate
6,8,5,12.8,6,7,5,13.4,18,1,0,13,28,10,4,1,0,1,0,1,1,Enrolled
6,7,6,13.0,6,6,6,13.666666666666666,18,0,0,1,29,6,4,1,0,1,0,1,1,Graduate
7,7,7,13.467142857142855,8,9,8,15.011111111111113,19,0,0,1,27,9,10,1,0,1,0,1,1,Graduate
7,9,7,13.2375,8,9,7,13.742857142857144,18,1,0,13,14,6,9,1,0,1,0,1,1,Dropout
6,6,6,12.333333333333334,6,6,6,13.0,18,0,0,22,27,10,10,1,0,1,0,1,1,Graduate
5,7,5,12.4,5,5,6,14.6,19,0,0,1,14,5,10,1,0,1,0,1,1,Graduate
7,8,5,14.0,7,7,0,0.0,19,0,0,1,14,4,4,1,0,1,0,1,1,Dropout
6,7,5,12.0,6,9,4,12.5,19,1,0,1,28,4,10,0,0,0,1,1,1,Dropout
5,7,4,12.2,5,5,4,11.5,20,0,0,13,14,6,6,1,0,1,0,1,1,Graduate
6,6,6,14.833333333333334,6,6,6,14.833333333333334,18,1,0,1,1,20,39,0,0,1,1,1,1,Graduate
7,9,5,13.188,8,9,7,12.892857142857142,20,1,0,13,1,5,8,0,0,1,0,1,1,Enrolled
6,8,7,0.0,6,8,8,17.5875,18,0,0,13,1,10,9,0,0,1,0,1,1,Graduate
7,7,6,12.666666666666666,7,7,6,12.666666666666666,19,0,0,22,27,10,10,1,0,1,0,1,1,Graduate
6,8,6,12.666666666666666,6,10,5,12.0,19,1,0,13,1,5,5,1,0,1,0,1,1,Graduate
5,8,0,0.0,5,7,0,0.0,22,0,0,3,1,4,4,1,0,0,1,1,1,Enrolled
6,7,6,11.333333333333334,6,6,6,11.5,19,1,0,1,10,10,11,1,0,1,0,1,1,Graduate
7,10,7,13.605,8,11,8,12.33125,18,1,0,1,14,10,10,1,0,1,0,1,1,Graduate
6,10,5,12.0,6,9,5,10.8,19,1,0,22,28,6,7,1,0,1,0,1,1,Graduate
5,10,0,0.0,5,10,0,0.0,19,0,0,10,14,10,10,1,0,1,0,1,1,Dropout
6,8,5,11.2,6,12,3,11.666666666666666,20,0,0,1,27,10,11,1,0,1,0,1,1,Dropout
5,10,5,13.375,5,9,5,14.166666666666666,18,0,0,3,14,3,11,0,0,1,0,1,1,Graduate
7,8,6,13.863333333333337,6,9,7,14.178571428571429,18,1,0,1,27,10,10,0,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,18,0,0,3,27,3,9,1,0,1,0,1,1,Enrolled
5,8,6,12.4,5,8,5,13.4,19,0,0,1,28,10,10,1,0,1,0,1,1,Graduate
6,11,3,12.333333333333334,6,10,5,10.833333333333334,18,0,0,23,28,8,7,1,0,1,0,1,1,Enrolled
6,7,6,13.333333333333334,6,8,5,11.8,18,0,0,22,27,10,10,1,0,1,0,1,1,Graduate
6,10,3,12.666666666666666,6,12,3,10.0,21,0,0,3,27,3,6,1,0,1,0,1,1,Dropout
6,8,6,12.0,6,10,4,11.5,19,0,0,23,27,7,7,0,0,1,0,1,1,Dropout
5,5,5,10.6,5,5,5,11.8,18,1,0,23,28,10,10,0,0,1,0,1,1,Graduate
6,8,6,12.25,6,7,6,0.0,18,1,0,1,27,10,10,1,0,1,0,1,1,Graduate
6,10,4,11.0,6,9,6,11.833333333333334,20,0,0,13,1,10,11,1,0,1,0,1,1,Graduate
6,11,5,11.0,6,9,5,12.6,24,1,0,1,14,7,9,0,0,1,0,0,1,Graduate
6,6,6,13.166666666666666,6,9,6,13.0,19,0,0,13,1,5,2,0,0,1,0,1,1,Dropout
7,9,7,12.855555555555554,8,12,7,12.761111111111113,18,1,0,13,27,10,8,1,0,1,0,1,1,Graduate
7,8,7,14.91875,8,8,8,15.355,18,0,0,13,14,10,10,1,0,1,0,1,1,Graduate
6,13,4,11.5,6,10,3,11.0,21,0,0,10,10,5,5,1,0,1,0,1,1,Dropout
5,5,5,14.2,5,5,5,14.2,19,0,0,1,14,6,5,0,0,1,0,1,1,Graduate
6,6,6,12.5,6,7,6,13.0,19,1,0,13,27,8,8,0,0,1,0,1,1,Graduate
6,10,5,11.666666666666666,6,12,4,11.0,19,0,0,13,14,8,9,0,0,1,0,1,1,Graduate
8,8,7,14.257142857142856,8,8,7,14.257142857142856,29,0,0,2,2,2,2,0,0,1,0,1,3,Graduate
6,13,3,12.0,6,12,2,11.333333333333334,21,0,0,13,14,5,9,1,0,1,0,1,1,Dropout
5,13,4,11.25,5,11,4,10.5,28,0,0,22,14,10,8,1,0,1,0,1,1,Enrolled
7,8,7,12.457142857142856,8,8,8,13.5625,20,0,0,22,27,4,11,0,0,1,0,1,1,Graduate
7,7,6,11.683333333333332,7,7,6,11.683333333333332,19,0,0,2,28,5,6,1,0,1,0,1,1,Graduate
6,10,3,11.666666666666666,6,8,5,12.0,26,0,0,13,2,5,7,0,0,1,0,0,1,Graduate
6,8,4,11.75,6,6,6,13.166666666666666,20,0,0,22,27,10,9,1,0,0,1,1,1,Dropout
6,9,5,13.2,6,10,5,12.0,27,0,0,22,14,10,6,0,0,1,0,1,1,Graduate
7,8,4,11.95,7,8,4,11.95,20,0,0,19,24,12,12,1,0,1,0,1,1,Dropout
6,8,5,12.4,6,12,5,10.4,18,0,0,22,14,10,6,1,0,1,0,1,1,Dropout
7,8,6,14.35,6,10,6,14.583333333333334,18,0,0,1,1,10,6,0,0,1,0,1,3,Dropout
21,21,21,12.61904761904762,19,19,19,12.789473684210526,18,0,0,3,1,4,4,1,0,1,0,1,1,Graduate
6,7,6,12.666666666666666,6,7,6,13.166666666666666,26,1,0,22,14,10,9,0,0,1,0,0,14,Enrolled
6,6,5,12.0,6,6,0,0.0,27,0,0,13,14,4,5,0,0,0,1,1,12,Dropout
6,6,6,12.166666666666666,6,6,0,0.0,19,0,0,1,27,6,6,1,0,0,0,1,1,Dropout
6,0,0,0.0,6,0,0,0.0,20,0,0,1,14,5,7,1,0,1,0,1,1,Dropout
5,9,3,10.0,5,9,3,10.571428571428571,20,0,0,3,3,6,8,1,0,0,1,1,1,Dropout
10,18,8,11.5,6,12,4,10.0,21,0,0,1,27,6,10,0,0,0,1,1,1,Enrolled
7,7,6,13.05,7,7,6,13.05,18,1,0,23,1,10,5,1,0,1,0,1,1,Graduate
6,7,6,11.5,6,6,6,12.0,20,0,0,1,3,5,2,1,0,1,0,1,1,Graduate
6,7,6,12.0,6,6,6,12.5,21,1,0,13,28,10,9,0,0,1,0,1,1,Graduate
6,13,2,10.0,5,12,1,10.0,23,0,0,1,27,8,4,0,0,1,0,0,1,Enrolled
5,5,0,0.0,5,5,0,0.0,24,0,0,10,3,5,4,1,0,1,0,1,1,Dropout
6,0,0,0.0,6,0,0,0.0,21,0,0,1,1,5,11,0,0,1,0,1,1,Dropout
8,8,7,12.242857142857144,8,8,7,12.242857142857144,18,0,0,23,28,10,9,1,0,1,0,1,1,Graduate
5,0,0,0.0,5,0,0,0.0,27,0,0,13,1,4,5,1,0,1,0,0,15,Dropout
8,8,8,0.0,8,8,8,12.93375,18,0,0,22,27,10,10,1,0,1,0,1,1,Graduate
5,0,0,0.0,5,0,0,0.0,35,0,0,3,2,3,3,0,0,1,0,1,3,Dropout
7,9,7,12.571428571428571,7,8,7,14.428571428571429,18,0,0,13,14,4,9,0,0,1,0,1,1,Graduate
3,4,3,11.816666666666668,3,3,3,11.333333333333334,35,0,0,1,3,28,19,0,0,1,0,1,1,Enrolled
5,9,4,13.75,5,13,4,14.333333333333334,19,0,0,1,1,5,8,1,0,1,0,1,1,Graduate
6,8,6,11.166666666666666,6,6,6,11.333333333333334,20,0,0,13,14,5,1,1,0,1,0,1,1,Graduate
8,8,7,12.324285714285711,8,8,7,12.324285714285711,18,0,0,13,14,8,8,1,0,1,0,1,1,Graduate
6,6,6,12.166666666666666,6,7,6,11.714285714285714,21,0,0,23,28,6,11,0,0,1,1,1,14,Graduate
6,11,5,11.142857142857142,6,11,4,11.25,18,1,0,13,27,10,9,0,0,1,0,1,1,Graduate
8,8,7,12.914285714285713,8,8,7,12.914285714285713,18,0,0,13,28,10,10,1,0,1,0,1,1,Graduate
6,6,6,13.833333333333334,6,6,6,14.166666666666666,18,1,0,3,14,2,5,1,0,1,0,1,1,Graduate
6,8,6,13.857142857142858,6,9,5,13.4,19,0,0,13,1,9,8,1,0,1,0,1,1,Graduate
6,7,6,13.714285714285714,6,6,5,12.8,36,1,0,3,14,3,4,0,0,1,0,1,12,Dropout
8,8,7,12.642857142857142,8,8,7,12.642857142857142,18,1,0,23,1,8,5,1,0,1,0,1,1,Graduate
6,7,6,12.916666666666666,6,8,6,12.916666666666666,18,1,0,22,27,10,10,0,0,1,0,1,1,Graduate
6,8,6,15.625,6,8,6,15.857142857142858,20,1,0,1,3,10,3,1,0,1,0,1,1,Graduate
5,7,0,0.0,5,8,0,0.0,26,1,0,22,27,10,10,0,0,1,0,0,1,Dropout
6,8,6,11.714285714285714,6,7,6,12.0,21,0,0,1,1,5,6,0,0,1,0,1,1,Graduate
7,10,6,12.125,8,9,8,13.3125,25,0,0,1,1,5,6,0,0,1,0,1,15,Enrolled
5,7,5,11.6,5,5,5,11.6,19,1,0,13,3,6,6,1,0,1,0,1,1,Graduate
6,11,1,10.0,6,6,0,0.0,24,0,0,13,27,9,8,1,0,1,0,0,1,Dropout
6,16,1,10.0,6,13,0,0.0,27,1,0,1,14,6,5,0,0,1,0,0,1,Dropout
5,10,0,0.0,5,9,2,13.5,21,0,0,13,27,2,4,0,0,1,0,1,1,Dropout
6,6,6,13.333333333333334,6,6,6,14.5,19,1,0,22,27,6,8,0,1,1,0,1,1,Graduate
6,9,4,11.25,6,13,2,12.5,18,0,0,1,1,4,4,1,0,1,0,1,1,Dropout
7,9,5,13.85,8,9,7,12.19285714285714,19,1,0,13,1,6,10,0,0,1,0,1,1,Graduate
7,8,6,13.741666666666667,8,9,7,14.9125,19,1,0,1,28,5,6,1,0,1,0,1,1,Graduate
6,7,6,15.333333333333334,5,5,5,15.8,33,0,0,25,5,4,4,0,0,1,0,0,17,Graduate
5,6,5,11.0,5,5,5,13.8,45,0,0,1,4,4,11,0,0,1,0,1,3,Graduate
6,6,6,12.0,6,7,6,12.857142857142858,20,1,0,1,1,10,10,0,0,1,0,1,1,Graduate
5,5,0,0.0,5,5,0,0.0,28,0,0,19,24,1,1,1,0,1,0,1,1,Dropout
8,15,7,11.571428571428571,8,15,7,11.571428571428571,19,1,0,1,1,6,9,1,0,1,0,1,1,Graduate
6,10,6,12.857142857142858,6,6,3,12.666666666666666,18,0,0,1,27,5,6,1,0,1,0,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,38,0,0,13,14,5,7,0,0,1,0,1,3,Dropout
5,5,5,13.0,5,5,5,13.2,19,0,0,1,3,5,4,0,0,1,0,1,1,Graduate
6,9,5,11.0,6,8,5,12.0,21,1,0,1,27,10,10,0,0,1,0,1,1,Graduate
5,12,3,12.0,5,12,1,15.0,21,0,0,22,1,10,11,0,0,1,0,1,1,Dropout
6,6,5,12.6,6,6,6,13.0,22,1,0,23,27,10,10,0,0,1,0,1,1,Graduate
6,8,5,13.4,6,7,6,13.166666666666666,18,1,0,13,14,6,8,0,0,1,0,1,1,Graduate
6,9,6,11.333333333333334,6,9,6,11.571428571428571,18,1,0,22,27,4,10,0,1,1,0,1,1,Graduate
6,11,3,11.75,6,14,6,0.0,18,0,0,13,14,10,8,0,0,1,0,1,12,Graduate
7,10,6,12.471428571428572,7,8,7,11.4625,19,0,0,3,1,5,5,1,0,1,0,1,1,Enrolled
17,19,11,12.909090909090908,13,15,9,13.555555555555555,24,0,0,3,3,4,4,1,0,1,0,1,1,Enrolled
5,5,5,11.6,5,5,5,13.6,20,1,0,22,14,6,6,1,0,1,0,1,1,Graduate
5,5,0,0.0,5,9,0,0.0,25,0,0,22,1,10,2,0,0,0,0,1,1,Dropout
10,13,9,12.9,10,12,10,12.363636363636363,20,1,0,23,14,10,11,0,0,1,0,1,1,Graduate
8,8,8,13.22,8,8,8,13.22,23,0,0,13,28,6,4,0,0,1,0,1,3,Graduate
8,8,7,13.151428571428571,8,8,7,13.151428571428571,19,1,0,13,27,8,7,1,0,1,0,1,1,Graduate
6,13,3,12.75,6,8,3,11.333333333333334,29,0,0,22,27,10,11,0,0,0,1,1,14,Dropout
6,8,6,11.333333333333334,6,8,4,12.25,21,0,0,13,27,5,8,1,0,1,0,1,1,Graduate
6,10,6,13.25,6,13,5,14.142857142857142,18,1,0,13,1,10,9,1,0,1,0,1,1,Graduate
6,7,5,12.4,6,6,5,12.4,19,0,0,13,28,10,10,1,0,1,0,1,1,Enrolled
6,6,6,15.0,6,6,6,12.833333333333334,18,1,0,23,27,8,8,1,0,1,0,1,1,Dropout
5,8,5,14.4,6,8,5,13.0,19,0,0,7,14,12,7,1,0,1,0,1,1,Graduate
6,12,1,11.0,6,12,0,0.0,18,0,0,22,27,10,9,1,0,1,0,1,1,Enrolled
5,8,5,12.4,5,6,5,10.8,18,0,0,1,1,5,5,0,0,1,0,1,1,Graduate
7,13,1,16.0,7,12,0,0.0,37,1,0,23,27,8,8,1,0,0,1,1,12,Dropout
5,10,5,13.571428571428571,5,14,5,12.333333333333334,29,0,0,22,27,7,7,0,0,1,0,0,15,Graduate
6,6,6,11.833333333333334,6,6,6,12.5,18,0,0,22,27,10,10,0,0,1,0,1,1,Enrolled
6,8,5,11.666666666666666,6,9,5,12.666666666666666,19,1,0,1,1,10,9,1,0,1,0,1,1,Graduate
